(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 307/541 | loss=76.2875
  batch 308/541 | loss=76.0507
  batch 309/541 | loss=75.8154
  batch 310/541 | loss=75.5813
  batch 311/541 | loss=75.3494
  batch 312/541 | loss=75.1199
  batch 313/541 | loss=74.8908
  batch 314/541 | loss=74.6637
  batch 315/541 | loss=74.4376
  batch 316/541 | loss=74.2130
  batch 317/541 | loss=73.9891
  batch 318/541 | loss=73.7671
  batch 319/541 | loss=73.5463
  batch 320/541 | loss=73.3268
  batch 321/541 | loss=73.1091
  batch 322/541 | loss=72.8922
  batch 323/541 | loss=72.6791
  batch 324/541 | loss=72.4663
  batch 325/541 | loss=72.2543
  batch 326/541 | loss=72.0429
  batch 327/541 | loss=71.8332
  batch 328/541 | loss=71.6248
  batch 329/541 | loss=71.4171
  batch 330/541 | loss=71.2117
  batch 331/541 | loss=71.0074
  batch 332/541 | loss=70.8037
  batch 333/541 | loss=70.6018
  batch 334/541 | loss=70.4002
  batch 335/541 | loss=70.2008
  batch 336/541 | loss=70.0041
  batch 337/541 | loss=69.8092
  batch 338/541 | loss=69.6126
  batch 339/541 | loss=69.4181
  batch 340/541 | loss=69.2260
  batch 341/541 | loss=69.0343
  batch 342/541 | loss=68.8423
  batch 343/541 | loss=68.6512
  batch 344/541 | loss=68.4628
  batch 345/541 | loss=68.2740
  batch 346/541 | loss=68.0859
  batch 347/541 | loss=67.8994
  batch 348/541 | loss=67.7144
  batch 349/541 | loss=67.5300
  batch 350/541 | loss=67.3463
  batch 351/541 | loss=67.1662
  batch 352/541 | loss=66.9889
  batch 353/541 | loss=66.8116
  batch 354/541 | loss=66.6332
  batch 355/541 | loss=66.4547
  batch 356/541 | loss=66.2771
  batch 357/541 | loss=66.1014
  batch 358/541 | loss=65.9258
  batch 359/541 | loss=65.7507
  batch 360/541 | loss=65.5770
  batch 361/541 | loss=65.4049
  batch 362/541 | loss=65.2329
  batch 363/541 | loss=65.0619
  batch 364/541 | loss=64.8931
  batch 365/541 | loss=64.7252
  batch 366/541 | loss=64.5574
  batch 367/541 | loss=64.3905
  batch 368/541 | loss=64.2249
  batch 369/541 | loss=64.0602
  batch 370/541 | loss=63.8964
  batch 371/541 | loss=63.7329
  batch 372/541 | loss=63.5701
  batch 373/541 | loss=63.4089
  batch 374/541 | loss=63.2478
  batch 375/541 | loss=63.0879
  batch 376/541 | loss=62.9287
  batch 377/541 | loss=62.7713
  batch 378/541 | loss=62.6142
  batch 379/541 | loss=62.4580
  batch 380/541 | loss=62.3026
  batch 381/541 | loss=62.1484
  batch 382/541 | loss=61.9948
  batch 383/541 | loss=61.8421
  batch 384/541 | loss=61.6898
  batch 385/541 | loss=61.5383
  batch 386/541 | loss=61.3877
  batch 387/541 | loss=61.2385
  batch 388/541 | loss=61.0916
